date,open,high,low,close,volume,money,open_interest
2016-03-14,98.45,98.45,98.265,98.3,63.0,61920650.0,49.0
2016-03-15,98.3,98.45,98.24,98.45,49.0,48199600.0,86.0
2016-03-16,98.585,98.765,98.51,98.515,11.0,10844200.0,89.0
2016-03-17,98.5,98.595,98.5,98.56,219.0,215809500.0,303.0
2016-03-18,98.53,98.53,98.44,98.5,28.0,27573650.0,320.0
2016-03-21,98.4,98.405,98.255,98.345,66.0,64909200.0,365.0
2016-03-22,98.39,98.5,98.345,98.475,53.0,52150450.0,384.0
2016-03-23,98.51,98.585,98.45,98.45,187.0,184273200.0,542.0
2016-03-24,98.55,98.66,98.55,98.66,58.0,57184150.0,570.0
2016-03-25,98.65,98.65,98.45,98.49,159.0,156699600.0,680.0
2016-03-28,98.49,98.515,98.335,98.4,216.0,212691300.0,867.0
2016-03-29,98.375,98.55,98.32,98.45,156.0,153507050.0,876.0
2016-03-30,98.38,98.505,98.38,98.49,29.0,28554800.0,885.0
2016-03-31,98.505,98.54,98.405,98.465,73.0,71891350.0,907.0
2016-04-01,98.5,98.595,98.42,98.54,71.0,69944950.0,922.0
2016-04-05,98.585,98.59,98.35,98.355,47.0,46283250.0,957.0
2016-04-06,98.41,98.6,98.165,98.195,118.0,115960600.0,979.0
2016-04-07,98.15,98.22,98.01,98.015,46.0,45112550.0,1012.0
2016-04-08,98.07,98.08,97.85,97.875,182.0,178250950.0,1088.0
2016-04-11,97.8,97.865,97.73,97.73,76.0,74309700.0,1147.0
2016-04-12,97.685,97.76,97.61,97.68,118.0,115294750.0,1236.0
2016-04-13,97.8,98.2,97.39,97.46,139.0,135497600.0,1304.0
2016-04-14,97.465,97.48,97.205,97.235,112.0,109103350.0,1344.0
2016-04-15,97.365,97.53,97.365,97.52,145.0,141319000.0,1392.0
2016-04-18,97.57,97.655,97.5,97.57,88.0,85868100.0,1413.0
2016-04-19,97.53,97.61,97.505,97.58,177.0,172716800.0,1521.0
