date,open,high,low,close,volume,money,open_interest
2022-09-13,100.6,100.6,100.485,100.505,134.0,134712200.0,111.0
2022-09-14,100.405,100.425,100.35,100.36,277.0,278073400.0,252.0
2022-09-15,100.445,100.445,100.325,100.325,53.0,53217800.0,272.0
2022-09-16,100.26,100.305,100.2,100.3,79.0,79197500.0,322.0
2022-09-19,100.355,100.365,100.275,100.365,124.0,124375150.0,391.0
2022-09-20,100.39,100.48,100.385,100.47,161.0,161684500.0,502.0
2022-09-21,100.51,100.54,100.455,100.53,256.0,257249150.0,541.0
2022-09-22,100.53,100.555,100.47,100.47,91.0,91465050.0,550.0
2022-09-23,100.385,100.415,100.295,100.305,149.0,149525350.0,579.0
2022-09-26,100.23,100.23,99.965,99.97,176.0,176214300.0,536.0
2022-09-27,100.015,100.09,99.94,100.08,458.0,458055050.0,472.0
2022-09-28,99.94,100.0,99.875,99.93,221.0,220811700.0,408.0
2022-09-29,100.005,100.04,99.675,99.69,356.0,355488800.0,462.0
2022-09-30,99.6,99.8,99.53,99.64,192.0,191385100.0,509.0
2022-10-10,99.715,99.925,99.715,99.92,287.0,286620450.0,579.0
2022-10-11,99.96,99.975,99.85,99.905,139.0,138868500.0,583.0
2022-10-12,99.855,100.335,99.83,100.07,689.0,689859500.0,741.0
2022-10-13,100.035,100.165,100.035,100.145,103.0,103121500.0,769.0
2022-10-14,100.225,100.41,100.18,100.395,353.0,353779600.0,872.0
2022-10-17,100.35,100.4,100.3,100.35,148.0,148506150.0,878.0
2022-10-18,100.355,100.4,100.28,100.355,170.0,170571600.0,909.0
2022-10-19,100.36,100.42,100.345,100.345,57.0,57221200.0,939.0
2022-10-20,100.295,100.3,100.1,100.22,118.0,118227600.0,965.0
2022-10-21,100.225,100.275,100.14,100.14,81.0,81182550.0,995.0
2022-10-24,100.135,100.34,100.135,100.34,129.0,129389200.0,1015.0
2022-10-25,100.335,100.395,100.19,100.24,213.0,213606900.0,1049.0
2022-10-26,100.26,100.405,100.26,100.405,84.0,84288650.0,1045.0
2022-10-27,100.5,100.62,100.49,100.57,201.0,202106700.0,1003.0
2022-10-28,100.615,100.75,100.55,100.68,80.0,80520350.0,1022.0
2022-10-31,100.86,100.92,100.78,100.85,426.0,429622350.0,1129.0
2022-11-01,100.765,100.855,100.65,100.695,663.0,667991050.0,1452.0
2022-11-02,100.715,100.775,100.55,100.64,716.0,720543900.0,1880.0
2022-11-03,100.64,100.765,100.635,100.635,350.0,352497150.0,2041.0
2022-11-04,100.635,100.635,100.35,100.48,1298.0,1303688250.0,2845.0
2022-11-07,100.585,100.615,100.485,100.5,654.0,657525400.0,3225.0
