date,open,high,low,close,volume,money,open_interest
2020-12-14,96.98,97.05,96.96,96.99,19.0,18425850.0,15.0
2020-12-15,97.185,97.19,97.15,97.16,12.0,11660500.0,27.0
2020-12-16,97.275,97.275,97.05,97.105,45.0,43718650.0,62.0
2020-12-17,97.08,97.08,97.0,97.0,27.0,26199750.0,87.0
2020-12-18,97.0,97.095,96.89,96.895,57.0,55270550.0,134.0
2020-12-21,97.0,97.065,96.94,97.045,67.0,65003400.0,175.0
2020-12-22,97.175,97.365,97.17,97.365,46.0,44737650.0,181.0
2020-12-23,97.42,97.465,97.315,97.41,54.0,52590500.0,200.0
2020-12-24,97.37,97.405,97.235,97.235,33.0,32107150.0,210.0
2020-12-25,97.345,97.45,97.265,97.44,19.0,18504000.0,218.0
2020-12-28,97.6,97.7,97.6,97.6,87.0,84967650.0,265.0
2020-12-29,97.685,97.74,97.61,97.705,52.0,50789950.0,272.0
2020-12-30,97.785,99.6,97.395,97.755,26.0,25433450.0,281.0
2020-12-31,97.95,97.95,97.65,97.675,26.0,25419100.0,295.0
2021-01-04,97.735,97.74,97.52,97.52,55.0,53673300.0,331.0
2021-01-05,97.54,97.71,97.54,97.71,5.0,4880200.0,332.0
2021-01-06,97.85,97.865,97.71,97.78,8.0,7821700.0,332.0
2021-01-07,97.865,97.925,97.79,97.79,15.0,14677000.0,336.0
2021-01-08,97.715,97.715,97.545,97.6,89.0,86856600.0,389.0
2021-01-11,97.5,97.655,97.395,97.45,73.0,71169900.0,417.0
2021-01-12,97.535,97.59,97.45,97.57,53.0,51686300.0,428.0
2021-01-13,97.6,97.75,97.6,97.75,27.0,26356800.0,446.0
2021-01-14,97.785,97.985,97.705,97.845,32.0,31320350.0,449.0
2021-01-15,97.795,97.795,97.605,97.62,33.0,32232000.0,470.0
2021-01-18,97.59,97.63,97.465,97.54,68.0,66330200.0,515.0
2021-01-19,97.625,97.645,97.5,97.58,55.0,53660900.0,550.0
2021-01-20,97.565,97.65,97.54,97.65,25.0,24400500.0,560.0
2021-01-21,97.725,97.82,97.63,97.78,21.0,20525850.0,561.0
2021-01-22,97.8,97.92,97.8,97.915,12.0,11744600.0,556.0
2021-01-25,97.88,98.05,97.875,98.0,86.0,84279950.0,592.0
2021-01-26,97.78,97.785,97.615,97.625,91.0,88878800.0,649.0
2021-01-27,97.64,98.555,97.56,97.65,45.0,43958400.0,671.0
2021-01-28,97.58,97.6,97.38,97.38,226.0,220335150.0,787.0
2021-01-29,97.38,97.5,97.14,97.455,148.0,144088950.0,856.0
2021-02-01,97.5,97.555,97.455,97.46,34.0,33153300.0,859.0
2021-02-02,97.545,97.545,97.41,97.41,54.0,52632650.0,887.0
2021-02-03,97.385,97.385,97.005,97.065,230.0,223430250.0,1059.0
2021-02-04,97.135,97.135,96.8,96.88,230.0,222951850.0,1165.0
2021-02-05,96.88,96.94,96.67,96.705,318.0,307831750.0,1217.0
2021-02-08,96.725,96.74,96.52,96.74,246.0,237731950.0,1253.0
2021-02-09,96.795,96.84,96.73,96.815,104.0,100643100.0,1276.0
2021-02-10,96.715,96.745,96.505,96.565,226.0,218328300.0,1386.0
2021-02-18,97.84,97.84,96.24,96.28,1318.0,1274088900.0,1875.0
2021-02-19,96.34,96.585,96.34,96.51,404.0,389869700.0,1938.0
2021-02-22,96.4,96.425,96.25,96.425,815.0,785070900.0,2184.0
2021-02-23,96.36,96.54,96.32,96.445,456.0,439925050.0,2289.0
2021-02-24,96.5,96.655,96.5,96.53,741.0,715757600.0,2620.0
2021-02-25,96.455,96.515,96.37,96.46,1458.0,1405686600.0,3488.0
2021-02-26,96.44,96.545,96.255,96.265,1091.0,1051269500.0,3705.0
2021-03-01,96.34,96.61,96.34,96.59,1082.0,1044283200.0,3634.0
2021-03-02,96.58,96.745,96.575,96.64,1508.0,1457945700.0,3741.0
2021-03-03,96.665,96.78,96.555,96.615,1457.0,1407986250.0,3910.0
2021-03-04,96.585,96.605,96.445,96.48,754.0,727692950.0,3968.0
2021-03-05,96.43,96.83,96.405,96.8,1689.0,1631835650.0,4087.0
2021-03-08,96.76,96.93,96.655,96.91,1474.0,1426220150.0,4206.0
2021-03-09,96.84,96.91,96.66,96.78,1201.0,1162128550.0,4229.0
2021-03-10,96.76,96.97,96.7,96.9,1531.0,1482609450.0,4330.0
2021-03-11,96.91,96.945,96.735,96.75,1166.0,1128931000.0,4435.0
2021-03-12,96.73,96.795,96.61,96.635,1260.0,1218434000.0,4655.0
2021-03-15,96.62,96.62,96.405,96.5,1270.0,1225303950.0,4886.0
2021-03-16,96.54,96.645,96.51,96.555,657.0,634495450.0,4917.0
2021-03-17,96.61,96.73,96.605,96.635,1158.0,1119364900.0,5110.0
2021-03-18,96.66,96.66,96.48,96.515,1051.0,1014595100.0,5325.0
2021-03-19,96.58,96.83,96.58,96.785,1073.0,1037951700.0,5207.0
2021-03-22,96.82,96.9,96.76,96.795,1534.0,1485534900.0,5379.0
2021-03-23,96.76,96.955,96.725,96.92,1145.0,1109372650.0,5353.0
2021-03-24,97.1,97.235,97.1,97.21,1920.0,1865699600.0,5393.0
2021-03-25,97.22,97.26,97.135,97.26,807.0,784354450.0,5482.0
2021-03-26,97.22,97.22,97.105,97.145,1034.0,1004603250.0,5560.0
2021-03-29,97.12,97.15,97.04,97.13,865.0,839905050.0,5669.0
2021-03-30,97.2,97.325,97.045,97.06,2800.0,2722484950.0,6486.0
2021-03-31,97.06,97.205,97.06,97.175,1445.0,1403650350.0,6522.0
2021-04-01,97.16,97.185,97.04,97.085,1039.0,1008902050.0,6689.0
2021-04-02,97.065,97.245,97.06,97.105,2063.0,2004463800.0,7050.0
2021-04-06,97.105,97.105,96.965,97.045,1422.0,1379701550.0,7246.0
2021-04-07,97.0,97.055,96.88,96.9,1320.0,1279740800.0,7471.0
2021-04-08,96.92,96.965,96.815,96.82,1679.0,1626419150.0,7813.0
2021-04-09,96.88,96.975,96.84,96.89,1127.0,1092215250.0,8126.0
2021-04-12,96.94,97.17,96.94,97.135,2383.0,2313412750.0,9399.0
2021-04-13,97.27,97.505,97.27,97.495,4570.0,4452912700.0,11732.0
2021-04-14,97.44,97.49,97.4,97.48,2348.0,2287950900.0,12779.0
2021-04-15,97.485,97.5,97.355,97.38,1790.0,1743836800.0,13551.0
2021-04-16,97.355,97.465,97.31,97.43,2736.0,2665046700.0,14037.0
2021-04-19,97.44,97.565,97.35,97.5,4166.0,4060590750.0,14292.0
2021-04-20,97.5,97.58,97.48,97.525,2033.0,1982762050.0,14521.0
2021-04-21,97.495,97.6,97.44,97.58,4896.0,4775474550.0,15157.0
2021-04-22,97.58,97.58,97.43,97.495,3185.0,3104567200.0,16044.0
2021-04-23,97.455,97.55,97.41,97.48,3429.0,3342795000.0,16809.0
2021-04-26,97.395,97.395,97.2,97.235,7383.0,7180204750.0,19226.0
2021-04-27,97.26,97.315,97.13,97.135,6978.0,6785298350.0,20987.0
2021-04-28,97.23,97.27,97.15,97.19,5191.0,5046046400.0,22313.0
2021-04-29,97.22,97.315,97.12,97.16,7094.0,6898581800.0,24188.0
2021-04-30,97.18,97.49,97.15,97.48,10172.0,9899408650.0,27498.0
2021-05-06,97.5,97.615,97.465,97.54,11122.0,10848665400.0,30599.0
2021-05-07,97.545,97.61,97.38,97.42,16123.0,15717970000.0,35148.0
2021-05-10,97.38,97.445,97.31,97.44,17914.0,17442993250.0,41474.0
2021-05-11,97.44,97.695,97.44,97.69,22736.0,22178698650.0,47388.0
