date,open,high,low,close,volume,money,open_interest
2023-06-12,101.14,101.24,101.11,101.16,461.0,466384400.0,350.0
2023-06-13,101.23,101.5,101.23,101.395,584.0,591930850.0,473.0
2023-06-14,101.445,101.585,101.375,101.41,378.0,383488350.0,574.0
2023-06-15,101.36,101.36,101.07,101.085,585.0,591998300.0,775.0
2023-06-16,101.08,101.08,100.77,100.88,555.0,560051350.0,989.0
2023-06-19,100.835,100.905,100.66,100.715,409.0,412173300.0,1096.0
2023-06-20,100.775,100.88,100.765,100.855,213.0,214739500.0,1107.0
2023-06-21,100.875,100.98,100.875,100.96,237.0,239228250.0,1124.0
2023-06-26,100.98,101.07,100.98,101.0,261.0,263676450.0,1162.0
2023-06-27,100.975,100.975,100.815,100.87,244.0,246152600.0,1191.0
2023-06-28,100.905,101.01,100.905,101.01,85.0,85822200.0,1162.0
2023-06-29,100.945,101.095,100.93,101.05,232.0,234444000.0,1191.0
2023-06-30,101.09,101.235,101.075,101.23,252.0,254923600.0,1220.0
