date,open,high,low,close,volume,money,open_interest
2020-06-15,99.96,99.96,99.715,99.715,91.0,90839700.0,57.0
2020-06-16,99.365,99.395,99.105,99.105,89.0,88329100.0,89.0
2020-06-17,99.09,99.26,99.06,99.1,42.0,41633700.0,98.0
2020-06-18,99.32,99.4,99.045,99.26,74.0,73416750.0,105.0
2020-06-19,99.205,99.26,99.075,99.26,54.0,53533950.0,113.0
2020-06-22,99.23,99.295,99.135,99.135,72.0,71452800.0,156.0
2020-06-23,99.0,99.21,98.955,99.105,95.0,94064250.0,214.0
2020-06-24,99.205,99.41,99.18,99.41,25.0,24824800.0,214.0
2020-06-29,99.34,99.46,99.34,99.41,12.0,11928300.0,215.0
2020-06-30,99.26,99.455,99.24,99.455,20.0,19862350.0,214.0
2020-07-01,99.5,99.57,99.41,99.41,10.0,9947700.0,217.0
2020-07-02,99.37,99.49,99.36,99.49,9.0,8948400.0,214.0
2020-07-03,99.35,99.38,99.245,99.26,18.0,17874400.0,225.0
2020-07-06,99.02,99.02,98.305,98.32,184.0,181492800.0,335.0
2020-07-07,98.11,98.315,98.0,98.235,155.0,152124650.0,396.0
2020-07-08,98.19,98.19,97.81,97.9,100.0,97974500.0,463.0
2020-07-09,97.76,97.885,97.4,97.7,375.0,366179200.0,598.0
2020-07-10,97.865,98.085,97.84,97.84,65.0,63649350.0,606.0
2020-07-13,97.825,97.88,97.575,97.675,184.0,179714000.0,686.0
2020-07-14,97.95,98.025,97.79,97.79,128.0,125336250.0,703.0
2020-07-15,97.83,98.13,97.71,98.08,72.0,70540300.0,719.0
2020-07-16,98.015,98.44,98.015,98.305,64.0,62881250.0,721.0
2020-07-17,98.24,98.43,98.1,98.2,90.0,88425650.0,736.0
2020-07-20,98.0,98.25,97.995,98.21,91.0,89267400.0,754.0
2020-07-21,98.27,98.54,98.235,98.345,58.0,57072800.0,749.0
2020-07-22,98.34,98.69,98.1,98.69,114.0,112163300.0,726.0
2020-07-23,98.55,98.75,98.5,98.68,23.0,22682100.0,729.0
2020-07-24,98.61,98.99,98.575,98.925,257.0,253885300.0,604.0
2020-07-27,98.805,98.86,98.755,98.86,65.0,64223200.0,624.0
2020-07-28,98.6,98.705,98.55,98.575,55.0,54236900.0,624.0
2020-07-29,98.655,98.655,98.25,98.295,69.0,67863600.0,665.0
2020-07-30,98.23,98.305,98.19,98.195,23.0,22594250.0,676.0
2020-07-31,98.18,98.18,97.89,97.955,65.0,63707900.0,703.0
2020-08-03,97.855,98.15,97.725,98.05,60.0,58780700.0,711.0
2020-08-04,98.0,98.305,97.97,98.26,68.0,66794400.0,720.0
2020-08-05,98.34,98.405,98.0,98.0,77.0,75636000.0,739.0
2020-08-06,97.99,98.1,97.85,97.95,54.0,52911850.0,772.0
2020-08-07,97.955,97.955,97.64,97.66,147.0,143723700.0,873.0
2020-08-10,97.71,98.09,97.71,98.09,103.0,100829900.0,873.0
