date,open,high,low,close,volume,money,open_interest
2019-03-11,97.155,97.155,97.12,97.12,2.0,1942750.0,2.0
2019-03-12,97.23,97.35,97.17,97.17,12.0,11673600.0,12.0
2019-03-13,97.17,97.17,97.17,97.17,0.0,0.0,12.0
2019-03-14,97.115,97.13,97.005,97.005,15.0,14563550.0,16.0
2019-03-15,97.195,97.195,96.82,97.15,7.0,6791600.0,19.0
2019-03-18,97.15,97.15,97.15,97.15,0.0,0.0,19.0
2019-03-19,97.04,97.04,97.04,97.04,1.0,970400.0,20.0
2019-03-20,96.625,97.165,96.625,96.91,8.0,7757800.0,25.0
2019-03-21,97.25,97.28,97.005,97.005,11.0,10689900.0,30.0
2019-03-22,97.375,97.775,97.26,97.26,12.0,11692800.0,34.0
2019-03-25,97.26,97.26,97.26,97.26,0.0,0.0,34.0
2019-03-26,97.65,97.65,97.65,97.65,1.0,976500.0,34.0
2019-03-27,97.45,97.45,97.45,97.45,2.0,1949000.0,34.0
2019-03-28,97.495,97.495,97.495,97.495,1.0,974950.0,34.0
2019-03-29,97.42,97.505,97.42,97.505,3.0,2923450.0,35.0
2019-04-01,97.31,97.31,96.955,96.96,41.0,39799050.0,67.0
2019-04-02,96.815,96.815,96.695,96.71,23.0,22253600.0,73.0
2019-04-03,96.685,96.685,96.11,96.135,49.0,47211950.0,107.0
2019-04-04,95.95,96.155,95.9,95.9,8.0,7680350.0,110.0
2019-04-08,96.05,96.215,95.91,96.06,18.0,17293150.0,126.0
2019-04-09,96.075,96.075,95.945,95.945,24.0,23037700.0,144.0
2019-04-10,95.97,96.125,95.88,96.055,10.0,9601200.0,147.0
2019-04-11,96.185,96.32,96.185,96.32,2.0,1925050.0,147.0
2019-04-12,96.16,96.16,96.05,96.05,8.0,7687750.0,153.0
2019-04-15,95.7,95.74,95.56,95.74,38.0,36347400.0,181.0
2019-04-16,95.72,95.735,95.475,95.51,51.0,48750600.0,214.0
2019-04-17,95.62,95.905,95.4,95.82,43.0,41133750.0,216.0
2019-04-18,95.855,95.92,95.8,95.865,28.0,26836300.0,230.0
2019-04-19,95.87,95.995,95.81,95.81,59.0,56585350.0,257.0
2019-04-22,95.81,95.81,95.475,95.5,118.0,112853500.0,328.0
2019-04-23,95.45,95.59,95.35,95.55,37.0,35316350.0,341.0
2019-04-24,95.43,95.435,95.17,95.225,51.0,48595900.0,369.0
2019-04-25,95.29,95.545,95.26,95.41,52.0,49588200.0,385.0
2019-04-26,95.6,95.61,95.53,95.585,13.0,12425900.0,385.0
2019-04-29,95.685,95.685,95.465,95.545,32.0,30577050.0,395.0
2019-04-30,95.605,95.95,95.605,95.93,17.0,16274250.0,393.0
2019-05-06,96.07,96.265,96.0,96.055,49.0,47097500.0,391.0
2019-05-07,95.86,96.115,95.835,96.005,33.0,31691300.0,382.0
2019-05-08,96.175,96.175,96.06,96.12,75.0,72077900.0,381.0
2019-05-09,96.14,96.29,96.125,96.29,66.0,63475900.0,378.0
2019-05-10,96.1,96.34,96.05,96.34,37.0,35580050.0,374.0
2019-05-13,96.45,96.585,96.425,96.57,43.0,41503600.0,376.0
2019-05-14,96.6,96.65,96.415,96.49,75.0,72358600.0,427.0
2019-05-15,96.29,96.5,96.29,96.5,12.0,11571650.0,428.0
2019-05-16,96.54,96.605,96.37,96.45,129.0,124468500.0,454.0
2019-05-17,96.4,96.435,96.335,96.435,147.0,141693350.0,497.0
2019-05-20,96.42,96.505,96.35,96.41,74.0,71343650.0,500.0
2019-05-21,96.335,96.335,96.2,96.215,64.0,61618800.0,528.0
2019-05-22,95.605,96.185,95.605,96.185,60.0,57663200.0,546.0
2019-05-23,96.25,96.395,96.215,96.395,117.0,112715600.0,526.0
2019-05-24,96.415,96.42,96.355,96.355,35.0,33728850.0,529.0
2019-05-27,96.205,96.205,95.75,95.91,268.0,257233950.0,675.0
2019-05-28,95.845,96.19,95.845,96.19,238.0,228476800.0,719.0
2019-05-29,96.27,96.47,96.27,96.455,200.0,192843150.0,808.0
2019-05-30,96.39,96.55,96.37,96.47,158.0,152425750.0,843.0
2019-05-31,96.52,96.625,96.35,96.485,360.0,347237850.0,1007.0
2019-06-03,96.65,96.785,96.65,96.725,305.0,295003750.0,1047.0
2019-06-04,96.73,96.88,96.705,96.865,192.0,185891650.0,1057.0
2019-06-05,96.865,96.995,96.75,96.98,308.0,298351100.0,1161.0
2019-06-06,96.99,97.08,96.93,96.96,178.0,172650650.0,1172.0
2019-06-10,96.92,96.98,96.84,96.91,149.0,144424400.0,1196.0
2019-06-11,96.875,96.875,96.605,96.61,183.0,176944250.0,1243.0
2019-06-12,96.595,96.765,96.595,96.655,220.0,212691300.0,1248.0
2019-06-13,96.72,96.93,96.72,96.855,187.0,181059650.0,1259.0
2019-06-14,96.95,97.095,96.9,97.08,61.0,59180100.0,1263.0
2019-06-17,97.1,97.25,97.1,97.2,107.0,103999000.0,1260.0
2019-06-18,97.155,97.195,96.975,97.05,218.0,211703100.0,1338.0
2019-06-19,96.955,97.025,96.91,96.935,179.0,173561800.0,1322.0
2019-06-20,97.1,97.175,96.955,96.955,165.0,160176850.0,1403.0
2019-06-21,96.93,97.125,96.875,97.04,164.0,159118950.0,1459.0
2019-06-24,97.02,97.02,96.885,96.92,312.0,302441900.0,1551.0
2019-06-25,96.965,97.13,96.96,96.985,203.0,197001650.0,1559.0
2019-06-26,96.98,97.02,96.82,96.835,201.0,194784200.0,1581.0
2019-06-27,96.95,96.955,96.78,96.78,142.0,137561400.0,1577.0
2019-06-28,96.825,97.16,96.81,97.095,447.0,433737750.0,1636.0
2019-07-01,97.0,97.25,96.9,97.21,1065.0,1034217400.0,2079.0
2019-07-02,97.145,97.7,97.145,97.67,1198.0,1167681400.0,2337.0
2019-07-03,97.76,97.9,97.71,97.86,487.0,476273600.0,2465.0
2019-07-04,97.815,97.84,97.67,97.815,485.0,474062700.0,2618.0
2019-07-05,97.755,97.78,97.65,97.675,338.0,330228600.0,2753.0
2019-07-08,97.62,97.84,97.55,97.59,599.0,585084150.0,3013.0
2019-07-09,97.625,97.775,97.615,97.765,384.0,375117350.0,3145.0
2019-07-10,97.795,97.865,97.63,97.715,480.0,469247750.0,3267.0
2019-07-11,97.795,98.03,97.735,97.745,1150.0,1126082550.0,3307.0
2019-07-12,97.735,97.87,97.665,97.87,472.0,461450150.0,3327.0
2019-07-15,97.95,98.08,97.6,97.61,1208.0,1180997100.0,3313.0
