date,open,high,low,close,volume,money,open_interest
2021-06-15,97.39,97.39,97.065,97.175,45.0,43706400.0,34.0
2021-06-16,97.155,97.23,97.13,97.145,45.0,43723250.0,72.0
2021-06-17,97.05,97.175,97.02,97.02,59.0,57280850.0,100.0
2021-06-18,97.11,97.295,97.09,97.28,40.0,38880250.0,113.0
2021-06-21,97.435,97.53,97.37,97.53,22.0,21437400.0,122.0
2021-06-22,97.505,97.605,97.505,97.58,36.0,35114550.0,137.0
2021-06-23,97.615,97.7,97.61,97.64,25.0,24412650.0,152.0
2021-06-24,97.765,97.765,97.66,97.66,13.0,12703050.0,158.0
2021-06-25,97.65,97.7,97.57,97.7,9.0,8784950.0,163.0
2021-06-28,97.695,97.75,97.525,97.525,36.0,35134000.0,193.0
2021-06-29,97.51,97.67,97.51,97.67,38.0,37083600.0,183.0
2021-06-30,97.6,97.745,97.6,97.715,34.0,33219200.0,193.0
2021-07-01,97.78,97.845,97.615,97.615,55.0,53738750.0,227.0
2021-07-02,97.67,97.745,97.67,97.745,4.0,3908200.0,228.0
2021-07-05,97.78,97.785,97.63,97.71,34.0,33214400.0,256.0
2021-07-06,97.68,97.72,97.6,97.605,61.0,59571100.0,298.0
2021-07-07,97.68,97.92,97.625,97.92,57.0,55722150.0,289.0
2021-07-08,98.19,98.385,98.115,98.33,69.0,67799150.0,296.0
2021-07-09,98.3,98.385,98.19,98.25,50.0,49142600.0,309.0
2021-07-12,98.345,98.65,98.335,98.62,70.0,68961300.0,334.0
2021-07-13,98.7,98.75,98.66,98.715,53.0,52309000.0,355.0
2021-07-14,98.75,99.0,98.71,98.925,75.0,74155600.0,372.0
2021-07-15,98.85,98.85,98.52,98.55,177.0,174718400.0,435.0
2021-07-16,98.63,98.7,98.555,98.67,22.0,21694500.0,433.0
2021-07-19,98.64,98.7,98.6,98.66,70.0,69055150.0,462.0
2021-07-20,98.75,98.87,98.745,98.75,40.0,39524600.0,457.0
2021-07-21,98.75,98.9,98.75,98.9,25.0,24709550.0,447.0
2021-07-22,98.8,98.815,98.75,98.815,19.0,18767450.0,445.0
2021-07-23,98.85,98.935,98.85,98.905,21.0,20765800.0,436.0
2021-07-26,99.0,99.13,98.97,99.07,46.0,45571300.0,447.0
2021-07-27,99.0,99.15,98.655,98.655,116.0,114802350.0,448.0
2021-07-28,98.78,98.955,98.78,98.835,39.0,38551000.0,446.0
2021-07-29,98.895,99.01,98.68,99.01,26.0,25723700.0,447.0
2021-07-30,99.15,99.505,99.15,99.505,82.0,81413800.0,456.0
2021-08-02,99.6,99.74,99.51,99.645,67.0,66755500.0,446.0
2021-08-03,99.6,99.62,99.47,99.57,43.0,42806100.0,448.0
2021-08-04,99.57,99.705,99.46,99.56,11.0,10951350.0,450.0
2021-08-05,99.62,99.825,99.55,99.825,44.0,43860150.0,450.0
2021-08-06,99.73,99.755,99.65,99.74,29.0,28916950.0,458.0
2021-08-09,99.49,99.58,99.185,99.255,137.0,136030600.0,513.0
2021-08-10,99.185,99.28,99.1,99.215,72.0,71414100.0,520.0
2021-08-11,99.125,99.19,98.99,99.005,66.0,65394950.0,569.0
2021-08-12,99.21,99.3,99.13,99.195,75.0,74404550.0,565.0
2021-08-13,99.235,99.245,99.11,99.21,39.0,38679400.0,583.0
2021-08-16,99.21,99.335,99.125,99.125,55.0,54599200.0,622.0
2021-08-17,99.275,99.33,99.115,99.315,80.0,79390200.0,616.0
2021-08-18,99.3,99.715,99.25,99.715,122.0,121509050.0,656.0
2021-08-19,99.8,99.85,99.66,99.81,192.0,191588100.0,699.0
2021-08-20,99.81,99.835,99.655,99.7,189.0,188537900.0,791.0
2021-08-23,99.7,99.7,99.51,99.535,280.0,278838450.0,881.0
2021-08-24,99.48,99.695,99.475,99.695,145.0,144413200.0,906.0
2021-08-25,99.755,99.9,99.755,99.825,76.0,75865000.0,896.0
2021-08-26,99.66,99.66,99.42,99.46,262.0,260718250.0,920.0
2021-08-27,99.49,99.625,99.49,99.585,215.0,214052600.0,932.0
2021-08-30,99.545,99.83,99.49,99.8,291.0,290170200.0,995.0
2021-08-31,99.825,99.89,99.645,99.68,674.0,672512350.0,944.0
2021-09-01,99.72,100.15,99.72,100.115,1226.0,1226436350.0,1036.0
2021-09-02,100.03,100.16,99.985,100.025,588.0,588417100.0,1067.0
2021-09-03,99.99,100.115,99.96,99.98,945.0,945204550.0,1132.0
2021-09-06,100.05,100.145,99.86,99.895,1024.0,1024009600.0,1203.0
2021-09-07,99.9,99.925,99.64,99.665,966.0,964173250.0,1447.0
2021-09-08,99.665,99.755,99.51,99.6,836.0,833076800.0,1595.0
2021-09-09,99.63,99.72,99.545,99.565,684.0,681382400.0,1723.0
2021-09-10,99.63,99.68,99.52,99.68,986.0,982055100.0,1840.0
2021-09-13,99.845,99.845,99.305,99.35,1320.0,1314034650.0,1923.0
2021-09-14,99.305,99.415,99.25,99.345,919.0,912939700.0,1979.0
2021-09-15,99.4,99.54,99.19,99.22,945.0,939342300.0,2042.0
2021-09-16,99.225,99.35,99.155,99.31,711.0,705610900.0,2079.0
2021-09-17,99.31,99.53,99.31,99.505,341.0,339119500.0,2104.0
2021-09-22,99.65,99.725,99.64,99.72,720.0,717698650.0,2239.0
2021-09-23,99.625,99.875,99.57,99.795,752.0,749921750.0,2264.0
2021-09-24,99.695,99.77,99.58,99.615,467.0,465496950.0,2295.0
2021-09-27,99.615,99.75,99.475,99.515,535.0,532895850.0,2282.0
2021-09-28,99.475,99.545,99.38,99.43,677.0,673156900.0,2396.0
