date,open,high,low,close,volume,money,open_interest
2017-12-11,92.975,92.975,92.975,92.975,0.0,0.0,0.0
2017-12-12,92.975,92.975,92.975,92.975,0.0,0.0,0.0
2017-12-13,92.975,92.975,92.975,92.975,0.0,0.0,0.0
2017-12-14,92.975,92.975,92.975,92.975,0.0,0.0,0.0
2017-12-15,92.975,92.975,92.975,92.975,0.0,0.0,0.0
2017-12-18,92.975,92.975,92.975,92.975,0.0,0.0,0.0
2017-12-19,92.975,92.975,92.975,92.975,0.0,0.0,0.0
2017-12-20,92.975,92.975,92.975,92.975,0.0,0.0,0.0
2017-12-21,92.975,92.975,92.975,92.975,0.0,0.0,0.0
2017-12-22,93.3,93.33,93.3,93.33,2.0,1866300.0,2.0
2017-12-25,93.33,93.33,93.33,93.33,0.0,0.0,2.0
2017-12-26,93.33,93.33,93.33,93.33,0.0,0.0,2.0
2017-12-27,93.33,93.33,93.33,93.33,0.0,0.0,2.0
2017-12-28,94.08,94.08,93.115,93.395,32.0,29962000.0,10.0
2017-12-29,93.54,93.54,93.205,93.415,4.0,3735750.0,8.0
2018-01-02,93.22,93.22,93.11,93.11,5.0,4658300.0,7.0
2018-01-03,93.155,93.16,93.155,93.16,2.0,1863150.0,8.0
2018-01-04,92.92,93.14,92.85,92.85,5.0,4647300.0,10.0
2018-01-05,92.705,92.985,92.705,92.935,13.0,12074200.0,17.0
2018-01-08,92.8,92.99,92.8,92.95,5.0,4645250.0,19.0
2018-01-09,93.095,93.095,92.96,92.965,6.0,5580350.0,21.0
2018-01-10,92.9,92.9,92.7,92.7,21.0,19483850.0,38.0
2018-01-11,92.61,92.61,92.37,92.415,7.0,6473900.0,44.0
2018-01-12,92.415,92.57,92.415,92.525,32.0,29591700.0,65.0
2018-01-15,92.35,92.35,92.095,92.185,36.0,33191150.0,77.0
2018-01-16,92.3,92.3,92.11,92.115,11.0,10137250.0,82.0
2018-01-17,92.27,92.27,92.0,92.035,27.0,24862450.0,96.0
2018-01-18,91.885,92.005,91.685,91.735,42.0,38581800.0,123.0
2018-01-19,91.795,91.835,91.59,91.625,47.0,43104500.0,145.0
2018-01-22,91.55,91.905,91.55,91.905,20.0,18360950.0,151.0
2018-01-23,91.945,91.95,91.855,91.88,8.0,7353450.0,151.0
2018-01-24,91.925,92.05,91.925,91.935,10.0,9198400.0,150.0
2018-01-25,91.88,91.99,91.88,91.99,3.0,2758600.0,148.0
2018-01-26,92.01,92.1,91.99,92.075,29.0,26692250.0,156.0
2018-01-29,92.005,92.175,91.95,92.05,13.0,11965000.0,159.0
