date,open,high,low,close,volume,money,open_interest
2014-03-17,93.498,93.498,93.374,93.418,17.0,15885120.0,6.0
2014-03-18,93.4,93.4,93.146,93.146,7.0,6529680.0,7.0
2014-03-19,93.0,93.21,93.0,93.21,15.0,13968460.0,19.0
2014-03-20,93.21,93.21,93.21,93.21,0.0,0.0,19.0
2014-03-21,93.366,93.372,93.002,93.25,19.0,17715360.0,26.0
2014-03-24,93.19,93.272,93.168,93.172,9.0,8386900.0,32.0
2014-03-25,93.166,93.2,93.1,93.2,5.0,4657660.0,34.0
2014-03-26,93.122,93.19,93.114,93.19,4.0,3725460.0,34.0
2014-03-27,93.196,93.196,93.088,93.106,19.0,17696700.0,33.0
2014-03-28,93.19,93.19,93.07,93.164,10.0,9313940.0,32.0
2014-03-31,93.158,93.158,93.158,93.158,1.0,931580.0,31.0
2014-04-01,93.1,93.1,93.1,93.1,2.0,1862000.0,29.0
2014-04-02,92.988,92.988,92.988,92.988,2.0,1859760.0,30.0
2014-04-03,92.882,92.882,92.882,92.882,1.0,928820.0,29.0
2014-04-04,92.666,92.85,92.666,92.85,2.0,1855160.0,30.0
2014-04-08,92.85,92.85,92.85,92.85,0.0,0.0,30.0
2014-04-09,92.85,92.85,92.85,92.85,0.0,0.0,30.0
2014-04-10,92.88,92.88,92.88,92.88,1.0,928800.0,30.0
2014-04-11,93.08,93.08,93.08,93.08,1.0,930800.0,30.0
2014-04-14,93.252,93.252,92.774,93.196,12.0,11169480.0,33.0
2014-04-15,93.238,93.59,93.002,93.182,45.0,41954080.0,29.0
2014-04-16,93.288,93.288,93.046,93.22,4.0,3728020.0,29.0
2014-04-17,93.358,93.42,93.154,93.25,16.0,14921340.0,36.0
2014-04-18,93.402,93.402,93.222,93.32,5.0,4666180.0,38.0
2014-04-21,93.386,93.386,93.28,93.28,3.0,2799500.0,37.0
2014-04-22,93.078,93.214,93.07,93.214,5.0,4656540.0,38.0
2014-04-23,93.156,93.156,93.156,93.156,1.0,931560.0,38.0
2014-04-24,93.156,93.156,93.156,93.156,0.0,0.0,38.0
2014-04-25,93.156,93.156,93.156,93.156,0.0,0.0,38.0
2014-04-28,93.108,93.156,93.052,93.156,16.0,14897160.0,38.0
2014-04-29,93.172,93.236,93.162,93.234,10.0,9319820.0,41.0
2014-04-30,93.266,93.32,93.266,93.32,14.0,13061400.0,45.0
2014-05-05,93.34,93.37,93.34,93.37,5.0,4667560.0,49.0
2014-05-06,93.37,93.498,93.366,93.484,18.0,16819540.0,49.0
2014-05-07,93.498,93.546,93.498,93.534,9.0,8416280.0,54.0
2014-05-08,93.51,93.644,93.51,93.638,16.0,14971800.0,61.0
2014-05-09,93.742,93.898,93.742,93.876,11.0,10321900.0,66.0
2014-05-12,93.8,93.904,93.794,93.878,11.0,10323620.0,71.0
2014-05-13,93.908,93.908,93.7,93.7,8.0,7505200.0,71.0
2014-05-14,93.65,93.738,93.642,93.738,6.0,5620680.0,74.0
2014-05-15,93.806,93.826,93.51,93.674,13.0,12179720.0,78.0
2014-05-16,93.786,93.8,93.74,93.76,12.0,11250000.0,80.0
2014-05-19,93.896,93.896,93.602,93.788,24.0,22508440.0,83.0
2014-05-20,93.79,93.864,93.754,93.844,44.0,41270100.0,97.0
2014-05-21,93.88,93.95,93.85,93.928,22.0,20655720.0,105.0
2014-05-22,94.0,94.086,93.956,93.988,30.0,28199880.0,112.0
2014-05-23,93.97,94.006,93.84,94.002,39.0,36632820.0,115.0
2014-05-26,93.99,94.01,93.97,94.0,11.0,10339340.0,117.0
2014-05-27,94.156,94.24,94.11,94.24,15.0,14124360.0,128.0
2014-05-28,94.296,94.63,94.28,94.608,77.0,72765040.0,170.0
2014-05-29,94.634,94.728,94.48,94.6,23.0,21761700.0,175.0
2014-05-30,94.682,94.98,94.65,94.97,34.0,32233040.0,188.0
2014-06-03,95.0,95.064,94.864,95.01,36.0,34196060.0,202.0
2014-06-04,95.076,95.316,95.076,95.292,80.0,76168820.0,239.0
2014-06-05,95.254,95.254,94.778,94.786,90.0,85492500.0,226.0
2014-06-06,94.806,94.898,94.7,94.776,31.0,29389140.0,225.0
2014-06-09,94.848,94.904,94.738,94.882,23.0,21811620.0,228.0
2014-06-10,95.0,95.094,94.86,94.906,32.0,30396020.0,233.0
2014-06-11,94.822,94.948,94.8,94.906,28.0,26567520.0,230.0
2014-06-12,94.936,94.936,94.854,94.856,11.0,10436720.0,232.0
2014-06-13,95.0,95.0,94.68,94.888,42.0,39801880.0,242.0
2014-06-16,94.862,95.1,94.862,95.058,58.0,55095000.0,239.0
2014-06-17,95.104,95.18,94.844,94.898,35.0,33257840.0,243.0
2014-06-18,94.8,94.894,94.798,94.882,19.0,18017400.0,246.0
2014-06-19,94.83,94.916,94.828,94.916,5.0,4743140.0,245.0
2014-06-20,94.916,95.21,94.902,94.98,27.0,25641140.0,251.0
2014-06-23,94.956,94.96,94.854,94.96,30.0,28473240.0,262.0
2014-06-24,94.9,94.968,94.9,94.958,5.0,4747040.0,262.0
2014-06-25,94.946,94.946,94.874,94.874,55.0,52191320.0,273.0
2014-06-26,94.87,94.964,94.87,94.898,45.0,42706600.0,290.0
2014-06-27,94.902,94.94,94.9,94.922,24.0,22778800.0,304.0
2014-06-30,94.91,94.91,94.8,94.836,22.0,20866540.0,305.0
2014-07-01,94.868,94.868,94.38,94.384,71.0,67110380.0,321.0
2014-07-02,94.4,94.45,94.248,94.26,53.0,50010780.0,345.0
2014-07-03,94.244,94.244,94.006,94.006,117.0,110167160.0,426.0
2014-07-04,93.98,94.176,93.804,94.128,117.0,110030500.0,457.0
2014-07-07,94.168,94.238,94.076,94.076,92.0,86637040.0,495.0
2014-07-08,94.066,94.164,94.066,94.136,88.0,82817600.0,542.0
2014-07-09,94.068,94.166,94.058,94.08,90.0,84686880.0,602.0
2014-07-10,94.032,94.1,94.032,94.082,41.0,38570120.0,622.0
