date,open,high,low,close,volume,money,open_interest
2013-12-16,92.25,92.25,92.25,92.254,0.0,0.0,0.0
2013-12-17,92.12,92.448,92.12,92.448,17.0,15702720.0,16.0
2013-12-18,92.35,92.352,92.124,92.24,35.0,32285420.0,14.0
2013-12-19,92.1,92.174,92.052,92.086,25.0,23028720.0,21.0
2013-12-20,92.268,92.268,92.11,92.11,3.0,2765340.0,22.0
2013-12-23,92.284,92.506,92.244,92.506,3.0,2770340.0,22.0
2013-12-24,92.698,92.698,92.554,92.554,3.0,2778860.0,23.0
2013-12-25,92.554,92.554,92.554,92.554,0.0,0.0,23.0
2013-12-26,92.546,92.546,92.546,92.546,1.0,925460.0,23.0
2013-12-27,92.454,92.454,92.454,92.454,1.0,924540.0,23.0
2013-12-30,92.522,92.65,92.522,92.55,5.0,4629520.0,27.0
2013-12-31,92.49,92.596,92.472,92.5,5.0,4625580.0,29.0
2014-01-02,92.424,92.492,92.222,92.222,12.0,11083480.0,30.0
2014-01-03,92.206,92.206,92.206,92.206,2.0,1844120.0,31.0
2014-01-06,92.2,92.292,92.186,92.194,9.0,8300200.0,37.0
2014-01-07,92.216,92.316,92.216,92.3,4.0,3691440.0,36.0
2014-01-08,92.3,92.496,92.3,92.496,9.0,8319480.0,39.0
2014-01-09,92.456,92.596,92.406,92.406,20.0,18500700.0,48.0
2014-01-10,92.36,92.546,92.356,92.406,24.0,22192340.0,59.0
2014-01-13,92.406,92.406,92.406,92.406,0.0,0.0,59.0
2014-01-14,92.406,92.406,92.406,92.406,0.0,0.0,59.0
2014-01-15,92.446,92.562,92.406,92.56,26.0,24046400.0,71.0
2014-01-16,92.56,92.56,92.506,92.506,5.0,4626400.0,71.0
2014-01-17,92.456,92.456,92.456,92.456,2.0,1849120.0,72.0
2014-01-20,92.406,92.54,92.406,92.54,8.0,7397080.0,74.0
2014-01-21,92.546,92.846,92.546,92.746,40.0,37092340.0,84.0
2014-01-22,92.746,92.926,92.746,92.802,17.0,15784540.0,89.0
2014-01-23,92.846,92.846,92.756,92.756,10.0,9281280.0,88.0
2014-01-24,92.756,92.796,92.756,92.796,4.0,3711420.0,90.0
2014-01-27,92.846,92.996,92.846,92.996,8.0,7434520.0,94.0
2014-01-28,92.956,92.956,92.956,92.956,1.0,929560.0,93.0
2014-01-29,92.994,93.096,92.994,93.04,11.0,10233600.0,100.0
2014-01-30,92.856,92.93,92.856,92.856,4.0,3715580.0,98.0
2014-02-07,92.968,93.046,92.968,93.046,4.0,3720100.0,101.0
2014-02-10,93.046,93.046,93.0,93.0,11.0,10230000.0,102.0
2014-02-11,93.046,93.146,93.046,93.146,11.0,10241500.0,107.0
2014-02-12,93.194,93.194,93.146,93.146,16.0,14907720.0,112.0
2014-02-13,93.196,93.196,93.196,93.196,2.0,1863920.0,113.0
2014-02-14,93.156,93.206,93.122,93.206,10.0,9316120.0,116.0
2014-02-17,93.156,93.156,93.046,93.046,7.0,6518720.0,115.0
2014-02-18,92.978,92.978,92.806,92.806,16.0,14861960.0,122.0
2014-02-19,92.796,92.846,92.656,92.706,34.0,31539020.0,130.0
2014-02-20,92.7,92.818,92.7,92.818,26.0,24115060.0,135.0
2014-02-21,92.846,92.886,92.806,92.838,26.0,24137920.0,137.0
2014-02-24,92.846,93.022,92.832,93.022,45.0,41826100.0,154.0
2014-02-25,93.046,93.416,93.046,93.416,78.0,72697320.0,180.0
2014-02-26,93.356,93.39,93.258,93.28,46.0,42927480.0,177.0
2014-02-27,93.346,93.646,93.346,93.548,78.0,72986920.0,196.0
2014-02-28,93.506,93.55,93.406,93.55,57.0,53284180.0,200.0
2014-03-03,93.506,93.646,93.354,93.354,89.0,83200400.0,202.0
2014-03-04,93.308,93.396,93.056,93.07,57.0,53172440.0,191.0
2014-03-05,93.102,93.412,92.962,92.964,150.0,139688500.0,205.0
2014-03-06,92.958,93.146,92.906,93.146,79.0,73484240.0,225.0
2014-03-07,93.146,93.204,93.038,93.04,40.0,37251840.0,232.0
2014-03-10,93.096,93.246,93.094,93.166,56.0,52176420.0,232.0
2014-03-11,93.186,93.244,93.112,93.15,55.0,51233880.0,226.0
2014-03-12,93.196,93.2,92.982,93.19,46.0,42829960.0,222.0
2014-03-13,93.196,93.376,93.15,93.334,45.0,41961960.0,234.0
2014-03-14,93.388,93.446,93.328,93.396,25.0,23347660.0,241.0
2014-03-17,93.356,93.394,93.158,93.248,54.0,50367820.0,243.0
2014-03-18,93.214,93.248,93.016,93.056,44.0,40976960.0,233.0
2014-03-19,93.006,93.096,92.928,93.05,52.0,48362840.0,244.0
2014-03-20,93.01,93.146,92.988,93.046,44.0,40944660.0,244.0
2014-03-21,93.09,93.152,93.056,93.106,33.0,30727600.0,247.0
2014-03-24,93.142,93.142,93.056,93.056,13.0,12099800.0,250.0
2014-03-25,93.056,93.06,92.95,93.058,33.0,30696180.0,250.0
2014-03-26,93.046,93.046,92.984,93.018,24.0,22323620.0,245.0
2014-03-27,92.956,93.014,92.91,92.966,23.0,21384080.0,241.0
2014-03-28,92.97,93.03,92.958,93.016,9.0,8368820.0,239.0
2014-03-31,93.0,93.0,92.974,92.99,12.0,11158680.0,238.0
2014-04-01,92.958,92.958,92.866,92.87,16.0,14865200.0,236.0
2014-04-02,92.856,92.87,92.656,92.656,58.0,53786660.0,255.0
2014-04-03,92.606,92.606,92.406,92.54,72.0,66595800.0,248.0
2014-04-04,92.546,92.6,92.456,92.468,28.0,25911040.0,255.0
2014-04-08,92.47,92.496,92.45,92.496,15.0,13871560.0,252.0
2014-04-09,92.462,92.56,92.462,92.56,13.0,12030020.0,253.0
2014-04-10,92.558,92.69,92.556,92.69,32.0,29645560.0,265.0
2014-04-11,92.696,92.84,92.696,92.806,55.0,51012300.0,275.0
2014-04-14,92.78,92.996,92.78,92.95,59.0,54816200.0,299.0
2014-04-15,92.948,92.948,92.894,92.894,45.0,41815940.0,315.0
2014-04-16,92.9,92.956,92.9,92.932,160.0,148704700.0,283.0
2014-04-17,92.948,93.388,92.948,93.05,212.0,197620680.0,365.0
2014-04-18,93.096,93.246,93.096,93.156,78.0,72674220.0,402.0
2014-04-21,93.156,93.32,93.0,93.102,69.0,64274200.0,425.0
2014-04-22,92.816,93.0,92.632,92.924,50.0,46476800.0,413.0
2014-04-23,92.998,92.998,92.928,92.95,11.0,10226380.0,416.0
2014-04-24,92.97,92.976,92.95,92.95,12.0,11155020.0,410.0
2014-04-25,92.946,92.98,92.93,92.94,23.0,21379260.0,414.0
2014-04-28,92.964,92.964,92.92,92.93,27.0,25090860.0,432.0
