date,open,high,low,close,volume,money,open_interest
2021-06-15,99.19,99.19,99.03,99.14,101.0,100102200.0,64.0
2021-06-16,99.15,99.15,99.105,99.115,11.0,10902500.0,69.0
2021-06-17,99.15,99.15,99.07,99.07,55.0,54514450.0,96.0
2021-06-18,99.095,99.195,99.08,99.195,43.0,42614850.0,111.0
2021-06-21,99.25,99.33,99.25,99.33,8.0,7942400.0,112.0
2021-06-22,99.33,99.345,99.315,99.345,12.0,11918800.0,111.0
2021-06-23,99.42,99.445,99.38,99.405,19.0,18888150.0,126.0
2021-06-24,99.545,99.545,99.4,99.4,14.0,13923850.0,129.0
2021-06-25,99.4,99.43,99.4,99.41,8.0,7953300.0,136.0
2021-06-28,99.43,99.43,99.43,99.43,1.0,994300.0,136.0
2021-06-29,99.4,99.445,99.4,99.445,6.0,5966250.0,142.0
2021-06-30,99.48,99.505,99.48,99.5,9.0,8954650.0,136.0
2021-07-01,99.455,99.47,99.45,99.45,7.0,6962100.0,143.0
2021-07-02,99.475,99.475,99.465,99.465,3.0,2984150.0,144.0
2021-07-05,99.45,99.455,99.45,99.455,3.0,2983550.0,142.0
2021-07-06,99.455,99.455,99.455,99.455,0.0,0.0,142.0
2021-07-07,99.455,99.455,99.455,99.455,0.0,0.0,142.0
2021-07-08,99.78,99.81,99.78,99.81,2.0,1995900.0,140.0
2021-07-09,99.81,99.81,99.81,99.81,0.0,0.0,140.0
2021-07-12,99.81,99.81,99.81,99.81,0.0,0.0,140.0
2021-07-13,100.065,100.115,100.065,100.095,8.0,8008300.0,145.0
2021-07-14,100.125,100.225,100.125,100.225,7.0,7010700.0,142.0
2021-07-15,100.025,100.03,100.025,100.025,4.0,4001100.0,144.0
2021-07-16,100.025,100.025,100.025,100.025,0.0,0.0,144.0
2021-07-19,100.025,100.025,100.025,100.025,0.0,0.0,144.0
2021-07-20,100.22,100.225,100.22,100.225,18.0,18040350.0,157.0
2021-07-21,100.225,100.225,100.225,100.225,0.0,0.0,157.0
2021-07-22,100.225,100.225,100.225,100.225,0.0,0.0,157.0
2021-07-23,100.315,100.33,100.03,100.33,18.0,18052850.0,154.0
2021-07-26,100.41,100.41,100.41,100.41,1.0,1004100.0,155.0
2021-07-27,100.375,100.38,100.05,100.05,107.0,107262450.0,213.0
2021-07-28,100.155,100.22,100.11,100.11,26.0,26045150.0,201.0
2021-07-29,100.32,100.32,100.19,100.19,26.0,26066900.0,210.0
2021-07-30,100.37,100.5,100.31,100.5,17.0,17067950.0,199.0
2021-08-02,100.595,100.715,100.595,100.635,25.0,25167150.0,200.0
2021-08-03,100.655,100.695,100.605,100.62,18.0,18118250.0,201.0
2021-08-04,100.525,100.575,100.505,100.52,40.0,40210500.0,208.0
2021-08-05,100.6,100.63,100.6,100.63,5.0,5030300.0,206.0
2021-08-06,100.635,100.65,100.61,100.625,12.0,12076600.0,205.0
2021-08-09,100.5,100.5,100.325,100.325,66.0,66267550.0,225.0
2021-08-10,100.29,100.42,100.29,100.415,23.0,23089900.0,229.0
2021-08-11,100.36,100.36,100.265,100.275,92.0,92281350.0,258.0
2021-08-12,100.4,100.425,100.4,100.405,25.0,25104650.0,263.0
2021-08-13,100.395,100.415,100.39,100.415,3.0,3012000.0,264.0
2021-08-16,100.405,100.405,100.405,100.405,1.0,1004050.0,265.0
2021-08-17,100.445,100.515,100.445,100.515,4.0,4019050.0,264.0
2021-08-18,100.48,100.715,100.475,100.715,67.0,67392900.0,296.0
2021-08-19,100.735,100.765,100.675,100.73,20.0,20145400.0,293.0
2021-08-20,100.735,100.735,100.62,100.675,33.0,33222400.0,301.0
2021-08-23,100.605,100.61,100.575,100.595,15.0,15089450.0,308.0
2021-08-24,100.585,100.675,100.58,100.655,193.0,194182150.0,410.0
2021-08-25,100.705,100.805,100.705,100.735,44.0,44337850.0,419.0
2021-08-26,100.7,100.7,100.59,100.59,29.0,29181550.0,423.0
2021-08-27,100.635,100.71,100.635,100.705,101.0,101697300.0,451.0
2021-08-30,100.65,100.82,100.635,100.82,90.0,90676950.0,461.0
2021-08-31,100.775,100.88,100.775,100.81,203.0,204673400.0,503.0
2021-09-01,100.855,101.065,100.84,101.045,273.0,275782450.0,576.0
2021-09-02,100.995,101.045,100.96,100.97,306.0,309067250.0,683.0
2021-09-03,100.985,101.02,100.95,100.95,146.0,147428400.0,731.0
2021-09-06,101.01,101.01,100.9,100.925,101.0,101974600.0,752.0
2021-09-07,100.92,100.92,100.815,100.815,151.0,152308150.0,787.0
2021-09-08,100.815,100.865,100.765,100.79,190.0,191541800.0,848.0
2021-09-09,100.79,100.845,100.775,100.79,95.0,95778150.0,860.0
2021-09-10,100.81,100.83,100.67,100.815,241.0,242811550.0,909.0
2021-09-13,100.825,100.845,100.575,100.575,369.0,371546350.0,1029.0
2021-09-14,100.57,100.63,100.55,100.6,299.0,300752750.0,1148.0
2021-09-15,100.67,100.73,100.535,100.565,125.0,125770150.0,1162.0
2021-09-16,100.57,100.615,100.53,100.61,270.0,271518400.0,1172.0
